1712;CASTELAR;PROVINCIA;BA
1714;ITUZAINGO;PROVINCIA;BA
1716;LIBERTAD;PROVINCIA;BA
1722;MERLO;PROVINCIA;PCI
1727;MARCOS PAZ;PROVINCIA;BA
1742;PASO DEL REY;PROVINCIA;BA
1744;MORENO;PROVINCIA;BA
1748;GENERAL RODRIGUEZ;PROVINCIA;BA
1752;LOMAS DEL MIRADOR;PROVINCIA;BA
1754;SAN JUSTO;PROVINCIA;BA
1757;LAFERRERE;PROVINCIA;CAP
1765;ISIDRO CASANOVA;PROVINCIA;BA
1768;VILLA MADERO;PROVINCIA;BA
1770;TAPIALES;PROVINCIA;BA
1771;PARANA;PROVINCIA;FOZ
11771;PARANA;PROVINCIA;FOZ
1772;VILLA CELINA;PROVINCIA;BA
1804;EZEIZA;PROVINCIA;BA
1822;LANUS OESTE;PROVINCIA;BA
1824;LANUS;PROVINCIA;BA
1826;R.DE ESCALADA;PROVINCIA;BA
1832;LOMAS DE ZAMORA;PROVINCIA;BA
1834;TURDERA;PROVINCIA;BA
1842;MONTE GRANDE;PROVINCIA;BA
1846;ADROGUE;PROVINCIA;BA
1852;BURZACO;PROVINCIA;BA
1865;SAN VICENTE;PROVINCIA;BA
1870;AVELLANEDA;PROVINCIA;BA
1875;WILDE;PROVINCIA;BA
1876;BERNAL;PROVINCIA;BA
1878;QUILMES;PROVINCIA;BA
1879;QUILMES OESTE;PROVINCIA;STF
1881;SAN FRANCISCO SOLANO;PROVINCIA;BA
1882;QUILMES;PROVINCIA;BA
1884;BERAZATEGUI;PROVINCIA;BA
1888;FLORENCIO VARELA;PROVINCIA;BA
1894;VILLA ELISA;PROVINCIA;BA
1900;LA PLATA;PROVINCIA;BA
1980;BRANDSEN;PROVINCIA;BA
1984;ROSARIO;PROVINCIA;STF
2000;ROSARIO;PROVINCIA;STF
2004;TIMBUES;PROVINCIA;STF
2101;ALVARELLOS;PROVINCIA;STF
2102;VILLA AMELIA;PROVINCIA;STF
2103;CORONEL BOGADO;PROVINCIA;STF
2105;CAÑADA RICA;PROVINCIA;STF
2106;SARGENTO CABRAL;PROVINCIA;STF
2107;ALVAREZ;PROVINCIA;STF
2109;ACEBAL;PROVINCIA;STF
2110;PAVON ARRIBA;PROVINCIA;STF
2111;SANTA TERESA;PROVINCIA;STF
2113;PEYRANO;PROVINCIA;STF
2115;PAZ;PROVINCIA;STF
2116;ALVEAR;PROVINCIA;STF
2117;ALCORTA;PROVINCIA;STF
2119;PUEBLO MUÑOZ;PROVINCIA;STF
2121;PEREZ;PROVINCIA;STF
2123;FUENTES;PROVINCIA;STF
2124;VILLA GOBERNADOR GALVEZ;PROVINCIA;STF
2125;CORONEL ARNOLD;PROVINCIA;STF
2126;ALVEAR;PROVINCIA;STF
2127;ARROYO SECO;PROVINCIA;STF
2128;ARROYO SECO;PROVINCIA;STF
2129;PUEBLO ESTHER;PROVINCIA;STF
2132;FUNES;PROVINCIA;STF
2133;CASILDA;PROVINCIA;STF
2134;ROLDAN;PROVINCIA;STF
2136;SAN JERONIMO NORTE;PROVINCIA;STF
